rec_idx,team_id,n_players,player_ids,player_names
10,11,26,36627|109124|109126|43467|60510|59504|42424|111138|40422|41063|101875|117410|142061|59486|110790|101011|103036|113338|110812|117803|119463|39473|59985|126231|117804|114398,扬·索默|曼努埃尔·阿坎吉|尼科·埃尔韦迪|里卡多·罗德里格斯|西尔万·威德默|史蒂芬 祖贝尔|格拉尼特·扎卡|雷莫·弗罗伊勒|谢尔丹·沙奇里|哈里斯·塞费罗维奇|布雷尔·恩博洛|伊冯·姆沃戈|格雷戈尔·科贝尔|法比安·沙尔|埃拉伊·居马尔特|凯文·姆巴布|洛里斯·贝尼托|丹尼斯·扎卡里亚|吉布里尔·索乌|克里斯蒂安·法斯纳赫特|巴尔加斯|穆罕默迪|马里奥·加夫拉诺维奇|贝契尔·奥梅拉吉奇|约尔丹·洛通巴|费尔南德斯
11,12,26,108279|33079|8851|116970|100630|59458|103686|107949|59481|46235|41066|32764|104485|44676|47128|114662|59993|63520|109252|100117|114235|100607|122716|47011|46003|108206,詹路易吉·唐纳鲁马|莱昂纳多·博努奇|乔治·基耶利尼|乔瓦尼·迪洛伦佐|莱昂纳多·斯皮纳佐拉|若日尼奥|尼科洛·巴雷拉|曼努埃尔·洛卡特利|多梅尼科·贝拉尔迪|洛伦佐·因西涅|奇罗·因莫比莱|萨尔瓦托雷·西里古|亚历克斯·梅雷特|弗朗切斯科·阿切尔比|拉斐尔·特洛伊|亚历山德罗·巴斯托尼|埃默松·帕尔米耶里|布莱恩·克里斯坦特|马泰奥·佩西纳|费代里科·贝尔纳代斯基|费德里科·基耶萨|安德烈亚·贝洛蒂|贾科莫·拉斯帕多里|亚历山德罗·弗洛伦齐|马尔科·维拉蒂|盖塔诺·卡斯特罗维利
12,13,26,45383|40110|45208|126345|117424|132167|118021|46564|123125|104699|102719|57371|110654|45065|135536|42446|128348|116060|128349|130145|34832|57413|116061|118152|126178|144729,托马什·瓦茨利克|翁德雷·采卢斯特卡|托马什·卡拉斯|库法尔|扬·博日尔|托马什·霍勒什|托马什·绍切克|弗拉迪米尔·达里达|卢卡什·马索普斯特|雅库布·扬克托|帕特里克·希克|亚历山大·曼德斯|托马什·库贝克|雅各布·布拉贝茨|达维德·齐马|帕维尔·卡德扎贝克|阿莱士·卡拉尔|安东宁·巴拉克|彼得·谢夫奇克|亚当·赫洛热克|托马斯·佩克哈特|马捷·维德拉|米哈尔·克尔门奇克|阿列什·马捷尤|米哈尔·萨迪莱克|比塞克
13,14,26,33185|36769|61681|104677|109005|101725|45945|36770|40714|114506|60884|45144|109010|116136|134043|116651|142133|46825|60380|130016|102901|61683|116652|116647|138000|110827,曼努埃尔·诺伊尔|胡梅尔斯|马蒂亚斯·金特尔|安东尼奥·鲁迪格|约书亚·基米希|罗宾·戈森斯|伊尔卡伊·京多安|托尼·克罗斯|托马斯·穆勒|凯·哈弗茨|泽格·格纳布里|贝恩德·莱诺|凯文·特拉普|尼克拉斯·聚勒|罗宾·科赫|马塞尔·哈尔斯滕贝格|克里斯蒂安·冈特|埃姆雷·詹|莱昂·格雷茨卡|弗洛里安·纽豪斯|勒鲁瓦·萨内|凯文·福兰德|蒂莫·维尔纳|卢卡斯·克洛斯特曼|穆西亚拉|乔纳斯·霍夫曼
14,15,26,9042|38054|103845|112433|38338|119695|59547|40150|60622|120428|105057|104289|116137|103551|40154|120439|47657|120426|120514|120411|47076|113707|122035|36807|42540|40871,卡斯帕·舒梅切尔|西蒙·克亚尔|安德烈亚斯·克里斯滕森|扬尼克·韦斯特高|丹尼尔·瓦斯|约阿基姆·梅勒|皮埃尔-埃米尔·赫伊别尔|托马斯·德莱尼|马丁·布雷思韦特|米克尔·达姆斯高|优素福·波尔森|约纳斯·勒斯尔|弗雷德里克·罗诺|约阿希姆·安德森|延斯·斯特里格|克里斯蒂安·内尔高|安徒斯·克里斯蒂安森|马蒂亚斯·延森|罗伯特·斯科乌|安德烈亚斯·奥尔森|安德烈亚斯·科尔内柳斯|卡斯珀·多尔贝格|约纳斯·温德|马蒂亚斯·约根森|尼古拉·博伊莱森|克里斯蒂安·埃里克森
15,16,23,32844|45497|121422|44669|123152|45247|116066|125778|103404|133543|110838|57006|105039|40273|107204|128740|103506|142236|103133|61082|113663|140819|59959,鲁内·亚尔斯坦|斯特兰德贝里|阿贾尔|约纳斯·斯文松|比格尔·梅林|弗雷德里克·米德肖|桑德尔·贝格|马蒂亚斯·诺曼|马丁·厄德高|埃尔林·哈兰德|亚历山大·索尔洛特|汉森|斯滕·格里特比斯特|阿瓦尔·诺德维特|加布里埃尔森|莱奥·厄斯蒂高|马丁·林内斯|瑞尔森|莫滕·托尔斯比|马茨·代利|穆罕默德·尤努西|豪格|约书亚·金
16,17,26,101870|109123|120699|38765|104794|100526|38062|9425|101872|115079|100992|46865|47550|101845|101846|109911|35321|35392|125984|116226|120854|123721|45368|35191|117459|114932,罗宾·奥尔森|维克托·林德洛夫|马库斯·丹尼尔松|米卡埃尔·卢斯蒂格|卢德维格·奥古斯丁松|克里斯托弗·奥尔松|阿尔宾·埃克达尔|塞巴斯蒂安·拉尔森|埃米尔·福斯贝里|亚历山大·伊萨克|马库斯·贝里|克里斯托弗·诺德费尔特|卡尔-约翰·约翰松|菲利普·赫兰德|蓬图斯·扬松|埃米尔·克拉夫特|皮埃尔·本特松|斯文森|延斯·卡尤斯特|维克托·克拉松|肯·塞马|德扬·库卢塞夫斯基|罗宾·奎森|安德烈斯·格兰奎斯特|马蒂亚斯·斯万贝里|约尔丹·拉松
17,18,26,43415|40904|35067|101219|36743|105043|45504|45374|106409|40173|45373|35492|57011|46857|109904|43243|30341|105041|114085|143427|130412|120782|126613|129044|114574|111231,卢卡什·赫拉德茨基|保卢斯·阿拉尤里|约纳·托伊维奥|丹尼尔·奥肖内西|尤卡·赖塔拉|耶雷·乌罗宁|拉斯穆斯·舒勒|罗宾·洛德|格伦·卡马拉|泰穆·普基|约埃尔·波赫扬帕洛|安西·亚科拉|耶塞·约罗宁|托马斯·拉姆|瓦桑恩|尼古拉伊·阿尤|蒂姆·斯帕夫|约尼·考科|弗雷德里克·延森|瓦拉卡里|皮里·索伊里|泰勒|福斯|罗伯特·伊瓦诺夫|尼古拉斯·海迈莱伊宁|拉帕莱宁
18,19,25,40937|42647|58594|117709|134422|143771|47680|142353|47374|128310|40002|34437|60502|118167|140315|143772|59706|40936|44659|59709|139707|143773|59715|123147|123151,沃伊切赫·什琴斯尼|卡米尔·格利克|巴尔托什·贝雷欣斯基|扬·贝德纳雷克|约兹瓦克|蒂莫西·普克斯|马特乌什·克利赫|雅库布·莫德|彼得·杰林斯基|卡罗尔·希维德尔斯基|罗伯特·莱万多夫斯基|卢卡什·法比安斯基|卢卡斯·斯克鲁普斯基|帕维乌·达维多维奇|海利克|卡米尔·皮克特科夫斯基|托马什·肯齐奥拉|马切伊·里布斯|格热戈日·克雷霍维亚克|卡罗尔·利内蒂|普热梅斯瓦夫·普瓦赫塔|卡罗尔·科兹洛夫斯基|达菲德·科夫纳茨基|普热·弗兰科夫斯基|贾库布·威尔佐
19,20,26,107142|101012|111174|39730|37850|39324|107541|144756|57031|33799|101883|59912|107934|118614|126110|107926|116254|107224|142110|135076|40284|107821|57032|100219|107335|135410,马丁·杜布拉夫卡|卢博米尔·萨特卡|米兰·什克里尼亚|彼得·佩卡里克|托马斯·胡波坎|尤拉伊·库茨卡|帕特里克·赫罗绍夫斯基|马丁·科塞尔尼克|罗伯特·马克|马雷克·哈姆西克|翁德雷·杜达|杜桑·库恰克|马雷克·罗达克|丹尼斯·瓦夫罗|达维德·汉科|赫罗马达|洛博特卡|扬·格雷古斯|拉斯洛·贝内斯|托马什·苏斯洛夫|维斯|卢卡斯·哈拉斯林|米哈尔·朱里什|马丁·瓦尔延特|伊万·施兰茨|波兹尼克
