player_id,player_name,team_id
32302,蒂莫西·德赖克,2013
32308,皮特·维尔图岑,345
32312,拉格纳·克拉万,320
32313,穆萨·登贝莱,4943
32339,努里·沙欣,1989
32354,凯文-普林斯·博阿滕,4914
32385,加里·卡希尔,382
32386,约翰·拉迪,208
32433,西尔韦斯特雷·瓦雷拉,1973
32461,本·福斯特,398
32485,蒂姆·克鲁尔,10
32500,沃特·布拉马,250
32555,里卡多·法蒂,239
32559,杰西·穆兰,418
32578,凯文·米拉拉斯,5356
32586,若奥·米兰达,45
32595,贝尔维斯,2393
32618,拉塞·舍内,245
32653,卢卡·里戈尼,337
32657,霍纳斯·古铁雷斯,1927
32668,罗伯特·埃利奥特,398
32764,萨尔瓦托雷·西里古,12
32765,马里亚诺·安杜哈尔,1238
32773,安东尼诺·巴里拉,4914
32776,马蒂亚斯·费尔南德斯,2544
32778,温贝托·苏阿索,2544
32780,何塞·罗哈斯,2708
32782,乌戈·罗达列加,5355
32825,斯科特·布朗,131
32844,鲁内·亚尔斯坦,16
33029,阿莱西斯·罗马奥,211
33075,洛伦佐·德西尔维斯特里,186
33079,莱昂纳多·博努奇,12
33103,马尔科·罗西,239
33104,卢卡·奇加里尼,1363
33110,达尼洛·索迪莫,4241
33114,克里斯蒂安·萨帕塔,323
33185,曼努埃尔·诺伊尔,14
33225,马里奥·苏亚雷斯,370
33237,戴维·席尔瓦,196
33238,塞尔希奥·阿尔瓦雷斯,195
33250,安东尼奥·巴拉甘,361
33258,索内·阿鲁科,391
33266,柯蒂斯·戴维斯,383
33291,托马·曼加尼,403
33301,雷吉斯·古特纳,4200
33307,乔,1247
33328,儒利奥·塞萨尔,2459
33431,梅诺·菲格罗亚,43
33477,胡安·卡洛斯·阿尔塞,1128
33491,加布里埃尔·托雷斯,1113
33555,蒿俊闵,4168
33557,郜林,5184
33669,安德烈·科斯塔,4225
33684,拉蒙·莱温,242
33700,西奥·沃尔科特,207
33702,塞尔希奥·阿圭罗,50
33727,罗伯托·希门尼斯,266
33739,拉菲尼亚,1931
33755,兹德涅克·兹拉马尔,2365
33759,埃德尔,306
33784,索尔达多,1765
33799,马雷克·哈姆西克,20
33802,埃米利亚诺·维维亚诺,5652
33808,弗雷泽·坎贝尔,2610
33813,梅夫吕特·埃尔丁奇,5652
33814,杜什科·托西奇,2625
33817,加埃唐·邦,36
33818,伊格纳西奥·皮亚蒂,1237
33857,塞尔吉奥·弗洛卡里,4923
33876,维托·曼诺内,112
33920,迈克尔·麦格林奇,1141
33926,弗雷迪·瓜林,1258
33930,奥古斯托·费尔南德斯,4308
33940,雷纳托·奇韦利,1922
33962,阿蒂巴·哈钦森,273
33994,武农·阿尼塔,254
34002,基科·卡西利亚,104
34005,阿尔瓦罗·内格雷多,4308
34007,博尔哈·巴莱罗,124
34010,斯科特·辛克莱尔,4192
34025,迈达纳,138
34051,奥季尔·艾哈迈多夫,5175
34068,菲力博斯扬,5402
34098,卢卡·莫德里奇,24
34108,安德烈斯·瓜尔达多,194
34126,加布里埃尔·帕莱塔,4914
34140,马克·米利甘,57
34431,安德里·皮亚托夫,30
34432,哲马伊利,1957
34437,卢卡什·法比安斯基,19
34475,迭戈·戈丁,49
34487,米格尔·平托,2360
34536,罗曼·萨林,218
34544,热雷米·莫雷尔,414
34606,保罗·贝斯,115
34611,迪米特里·佩耶,113
34626,沙恩·朗,1
34630,亚当·费德里奇,57
34638,阿德里安·马里亚帕,1760
34641,阿什利·扬,119
34657,菲尔·贾吉尔卡,4194
34704,阿卜杜勒·布卡里,406
34781,查利·马尔格鲁,176
34783,卢卡斯·比格利亚,5652
34786,瓦迪斯·奥吉贾-奥弗,1196
34799,何塞·冯特,6
34805,马蒂厄·瓦尔布埃纳,133
34813,马尔科·阿尔瑙托维奇,21
34820,布拉姆·范波伦,256
34827,乔·哈特,179
34832,托马斯·佩克哈特,13
34845,马蒂厄·库塔德尔,209
34848,西尔万·马尔沃,414
34850,帕帕库利·迪奥普,4146
34862,布拉克·伊尔马兹,29
34868,鲁伊·帕特里西奥,6
34876,吕德·福默,269
34878,杰雷曼·伦斯,5652
34881,路易斯·苏亚雷斯,49
34882,里安·东克,130
34900,拉斐尔·索比斯,274
34905,扬·费尔通亨,9
34908,马塞洛,109
34929,达尼洛·丹布罗西奥,119
34974,安杰洛·奥邦纳,105
34991,凯文·莫内-帕凯,418
34996,加布里埃尔·奥贝坦,5353
35019,洛伊克·雷米,5354
35033,优素福·穆伦布,1985
35067,约纳·托伊维奥,18
35076,米拉莱姆·苏莱曼尼,1950
35080,汉斯·穆尔德,254
35085,于海,4094
35086,埃里克·彼得斯,378
35097,阿德里安·洛佩斯·阿尔瓦雷斯,263
35099,克里斯蒂安·费尔南德斯,4260
35108,哈维·马丁内斯,127
35110,纳乔·蒙雷亚尔,196
35123,费德里科·法齐奥,125
35124,奥斯卡·特雷霍,370
35125,阿尔贝托·德拉贝利亚,4309
35165,科林·卡齐姆·理查兹,383
35173,安迪·卡罗尔,106
35181,因苏亚,2717
35189,阿德尔·塔拉卜特,32
35191,安德烈斯·格兰奎斯特,17
35194,米克尔·安德森,2069
35204,亚历山德罗,1932
35207,大卫·路易斯,101
35219,穆罕默德·托帕尔,1995
35239,迪厄梅西埃·姆博卡尼,5191
35243,赫苏斯·达托洛,1927
35244,尼古拉斯·贝尔托洛,5454
35252,马尔科·鲁文,1242
35274,马塞洛·博埃克,5143
35281,穆里尔,1249
35321,皮埃尔·本特松,17
35326,亚历山大·格恩特,4965
35392,斯文森,17
35400,拉格纳·西于尔兹松,1175
35477,埃丁森·卡瓦尼,49
35483,莱安德罗·格里米,1922
35492,安西·亚科拉,18
35496,加雷思·贝尔,4
35499,克里斯蒂安·富克斯,204
35505,乔纳森·埃文斯,2
35508,凯尔·拉弗蒂,2
35509,韦德兰·乔尔卢卡,271
35514,博扬·约基奇,5200
35532,史蒂文·德福尔,1200
35548,斯特凡·拉杜,122
35553,埃尔纳内斯,1255
35876,塞萨尔·阿斯皮利奎塔,7
35878,卢卡斯·雷瓦,122
35880,何塞·埃内斯托·索萨,197
35882,毛罗·萨拉特,139
35893,达维德·西蒙奇尼,1183
35977,绍柳斯·米科柳纳斯,1178
36001,尤斯廷·哈贝尔,1181
36052,何塞普·戈梅斯,1166
36061,马克·普若尔,1166
36065,马西奥·维埃拉,1166
36066,塞尔希·莫雷诺,1166
36077,马丁·比歇尔,1177
36127,亚历山德鲁·埃普雷亚努,1182
36203,马雷克·苏希,2344
36207,博热克·多奇卡尔,175
36246,贾内尔·埃尔金,197
36256,阿尔捷姆·久巴,31
36288,乔尔吉尼奥·维纳尔杜姆,10
36358,索克拉蒂斯·帕帕斯塔索普洛斯,28
36361,佩尔帕里姆·海泰马伊,4232
36396,布拉尼斯拉夫·伊万诺维奇,399
36431,贝拉姆·卡亚勒,1164
36434,利奥尔·雷法埃洛夫,5191
36612,王大雷,4168
36625,伊万·拉基蒂奇,265
36627,扬·索默,11
36666,多梅尼科·克里希托,323
36685,佩德罗·莱昂,4146
36697,帕皮斯·西塞,197
36703,大卫·奥斯皮纳,44
