pesdb_index,english_name,code3
333,PAOK Thessaloniki,PAO
334,Maccabi Haifa,MAC
335,Rosenborg BK,ROS
336,FCSB,FSB
337,CSKA Moskva,CSK
338,Zenit St. Petersburg,ZSP
339,Aberdeen FC,ABE
340,Dundee United,DUD
341,Heart of Midlothian,HEA
342,Hibernian FC,HIB
343,FK Crvena Zvezda,CZV
344,Shakhtar Donetsk,SHK
345,Argentinos Juniors,ARG
346,Racing Club,RAC
347,Estudiantes de la Plata,EST
348,Gimnasia La Plata,GIM
349,CA Independiente,IND
350,Newell's Old Boys,NOB
351,CA Rosario Central,RC
352,CA San Lorenzo,SLO
353,CA Vélez Sarsfield,VEL
354,Atlético Mineiro,CAM
355,Botafogo,BOT
356,SC Corinthians,COR
357,CR Flamengo,FLA
358,Fluminense FC,FLU
359,Grêmio,GRE
360,Guarani FC,GUA
361,SC Internacional,INT
362,Santos FC,SAN
363,São Paulo FC,SAO
364,CSD Colo Colo,CC
365,América de Cali,AME
366,Millonarios FC,MIL
367,Club Cerro Porteño,CER
368,Olimpia Asunción,OLI
369,Club Nacional,CNF
370,CA Peñarol,PEN
371,Club América,CA
372,Queens Park Rangers,QPR
373,Dijon FCO,DIJ
374,Stade Brestois,SB
375,Stade de Reims,SDR
376,Al Rayyan SC,RYN
377,Al Shabab Riyadh,SHA
378,Pakhtakor Tashkent,PAK
379,TP Mazembe,MAZ
380,Al Gharafa SC,GFC
381,Al Hilal Saudi FC,HIL
382,Buriram United,BRU
383,Valenciennes FC,VA
384,Serbia,SRB
385,Montenegro,MNE
386,Esteghlal FC,EST
387,Sydney FC,SYD
388,AIK Solna,AIK
389,RB Salzburg,RBS
390,Hull City,HUL
391,SD Ponferradina,PON
392,Spezia Calcio,SPE
393,Malmö FF,MFF
394,FC Basel,BAS
395,HJK Helsinki,HJK
396,CFR Cluj,CLJ
397,Dinamo Moskva,DMO
398,Legia Warszawa,WRZ
399,Bristol City,BCI
400,Blackpool FC,BLA
401,Granada CF,GRA
402,Atlas Guadalajara,ATL
403,CF Monterrey,MON
404,Tigres UANL,TIG
405,Vitória Sport Clube,VSC
406,Sivasspor,SIV
407,Aalborg BK,AAB
408,Rapid Vienna,SCR
409,Brøndby IF,BIF
410,Swansea City,SWA
411,Nîmes Olympique,NIM
412,US Sassuolo,SAS
413,AS Cittadella,CIT
414,Arsenal Fútbol Club,ARS
415,CA Huracán,HUR
416,CA Colón,COL
417,Godoy Cruz,GOD
418,CA Tigre,TIG
419,CA Banfield,BAN
420,CA Lanús,LAN
421,Athletico Paranaense,CAP
422,Coritiba FC,CFC
423,Goiás EC,GOI
