idx,file_off,date,f1,f2_hi,f2_lo,f3,f4,f5,f6,f7,f8
72,0x12a7d1d,2021-08-31,0,61827,65535,1451,103470,67911720,1802295,0,10361
73,0x12a7d41,2021-08-31,0,16400,65535,1125,43079,2097328,5357600,0,36000
74,0x12a7d65,2021-08-31,0,47291,65535,1205,114909,1769517,2048034,0,599267
75,0x12a7d89,2021-08-31,1,52048,65535,34,133551,2916359,1654784,0,36382
76,0x12a7dad,2021-08-31,1,53539,65535,12393,59933,85262717,87720318,0,1282
77,0x12a7dd1,2021-08-31,0,41129,65535,3693431839,60966,85262717,4294967295,1,0
78,0x12a7df5,2021-08-31,0,53308,65535,7745,100550,3293420,28836080,0,23323
79,0x12a7e19,2021-08-31,0,47426,65535,1387,100061,3571788,67911720,0,8558
80,0x12a7e3d,2021-08-31,0,37192,65535,17536,1073798919,38518959,1098138164,0,16053
81,0x12a7e61,2021-08-31,0,28844,65535,3110,126097,38518959,4096093,0,60903
82,0x12a7e85,2021-08-31,1,62138,65535,127,35086,38469804,6193155,0,17797
83,0x12a7ea9,2021-08-31,0,40224,65535,15861,42605,38469804,20185594,0,48230
84,0x12a7ecd,2021-08-31,0,16240,65535,7774,47640,6062359,6209777,0,33916
85,0x12a7ef1,2021-08-31,0,41136,65535,17519,1073780196,40730813,1095844403,0,56833
86,0x12a7f15,2021-08-31,0,49386,65535,163,38627,1835075,1671172,0,34146
87,0x12a7f39,2021-08-31,0,27800,65535,15462,130355,38568114,3260906,0,40030
88,0x12a7f5d,2021-08-31,0,5792,65535,15334,40513,38568114,19710438,0,46736
89,0x12a7f81,2021-08-31,1,43056,65535,13555,131754,29639039,2146727,0,25375
90,0x12a7fa5,2021-08-31,0,53195,65535,3693432033,107008,29639039,4309044,0,4400
91,0x12a7fc9,2021-08-31,1,30737,65535,13923,41109,29786546,30015924,0,1466
92,0x12a7fed,2021-08-31,1,42881,65535,1546,138298,4341813,1769517,0,33464
93,0x12a8011,2021-08-31,0,49272,65535,953,983,5357600,1966108,0,7000
94,0x12a8035,2021-08-31,0,16481,65535,3613,132757,4309044,32424046,0,10400
95,0x12a8059,2021-08-31,1,50315,65535,8080,117739,71483637,68681978,0,1360
96,0x12a807d,2021-08-31,0,33936,65535,3296,59817,70828132,4294967295,1,0
97,0x12a80a1,2021-08-31,0,30344,65535,8502,131362,39207172,72007943,0,3191
98,0x12a80c5,2021-08-31,0,4386,65535,18610,303458,3178550,4294967295,1,0
99,0x12a80e9,2021-09-02,2877358079,65535,65535,4294967295,4294967295,65535,2063728639,4294967295,4294967295
