src,kind,idx,date,v1_status,v2_raw,v3_money_x100,v4,v5,v6,v7_flag,v8,f2_hi(player_id),f2_lo,name
ML0,in-season,61,2021-08-31,0,4095934463,5728,113281,1867850,38486189,0,157999,62498,65535,
ML0,in-season,62,2021-08-31,0,1933705215,3198,108991,1720338,5357600,0,3962,29505,65535,
ML0,in-season,63,2021-08-31,1,456261631,1834,118472,4227113,1769517,0,14023,6961,65535,
ML0,in-season,64,2021-08-31,0,2208366591,8056,103366,6340855,6373625,0,6500,33696,65535,
ML0,in-season,65,2021-08-31,0,3946971135,536,8574,1785906,2932752,0,108000,60225,65535,
ML0,in-season,66,2021-08-31,0,2447769599,1027,109943,1785906,1949726,0,169000,37349,65535,
ML0,in-season,67,2021-08-31,1,1755054079,1567,122908,3178550,1769517,0,41194,26779,65535,
ML0,in-season,68,2021-08-31,0,4019257343,8812,108075,1802295,4341813,0,8516,61328,65535,
ML0,in-season,69,2021-08-31,0,2974285823,3301,104479,3522628,3489856,0,24830,45383,65535,托马什·瓦茨利克
ML0,in-season,70,2021-08-31,0,1076690943,2184,113379,1851465,3489856,0,105349,16428,65535,蒙塔诺
ML0,in-season,71,2021-08-31,0,1098645503,11941,42343,1851465,4294967295,1,0,16763,65535,
ML0,in-season,72,2021-08-31,0,4051959807,1451,103470,67911720,1802295,0,10361,61827,65535,
ML0,in-season,73,2021-08-31,0,1074855935,1125,43079,2097328,5357600,0,36000,16400,65535,
ML0,in-season,74,2021-08-31,0,3099328511,1205,114909,1769517,2048034,0,599267,47291,65535,
ML0,in-season,75,2021-08-31,1,3411083263,34,133551,2916359,1654784,0,36382,52048,65535,
ML0,in-season,76,2021-08-31,1,3508797439,12393,59933,85262717,87720318,0,1282,53539,65535,
ML0,in-season,77,2021-08-31,0,2695495679,3693431839,60966,85262717,4294967295,1,0,41129,65535,
ML0,in-season,78,2021-08-31,0,3493658623,7745,100550,3293420,28836080,0,23323,53308,65535,
ML0,in-season,79,2021-08-31,0,3108175871,1387,100061,3571788,67911720,0,8558,47426,65535,
ML0,in-season,80,2021-08-31,0,2437480447,17536,1073798919,38518959,1098138164,0,16053,37192,65535,
ML0,in-season,81,2021-08-31,0,1890385919,3110,126097,38518959,4096093,0,60903,28844,65535,
ML0,in-season,82,2021-08-31,1,4072341503,127,35086,38469804,6193155,0,17797,62138,65535,
ML0,in-season,83,2021-08-31,0,2636185599,15861,42605,38469804,20185594,0,48230,40224,65535,
ML0,in-season,84,2021-08-31,0,1064370175,7774,47640,6062359,6209777,0,33916,16240,65535,
ML0,in-season,85,2021-08-31,0,2695954431,17519,1073780196,40730813,1095844403,0,56833,41136,65535,乔治·曼德杰克
ML0,in-season,86,2021-08-31,0,3236626431,163,38627,1835075,1671172,0,34146,49386,65535,
ML0,in-season,87,2021-08-31,0,1821966335,15462,130355,38568114,3260906,0,40030,27800,65535,
ML0,in-season,88,2021-08-31,0,379650047,15334,40513,38568114,19710438,0,46736,5792,65535,斯文·本德
ML0,in-season,89,2021-08-31,1,2821783551,13555,131754,29639039,2146727,0,25375,43056,65535,
ML0,in-season,90,2021-08-31,0,3486253055,3693432033,107008,29639039,4309044,0,4400,53195,65535,
ML0,in-season,91,2021-08-31,1,2014445567,13923,41109,29786546,30015924,0,1466,30737,65535,
ML0,in-season,92,2021-08-31,1,2810314751,1546,138298,4341813,1769517,0,33464,42881,65535,安塞尔莫·拉蒙
ML0,in-season,93,2021-08-31,0,3229155327,953,983,5357600,1966108,0,7000,49272,65535,
ML0,in-season,94,2021-08-31,0,1080164351,3613,132757,4309044,32424046,0,10400,16481,65535,
ML0,in-season,95,2021-08-31,1,3297509375,8080,117739,71483637,68681978,0,1360,50315,65535,
ML0,in-season,96,2021-08-31,0,2224095231,3296,59817,70828132,4294967295,1,0,33936,65535,
ML0,in-season,97,2021-08-31,0,1988689919,8502,131362,39207172,72007943,0,3191,30344,65535,
ML0,in-season,98,2021-08-31,0,287506431,18610,303458,3178550,4294967295,1,0,4386,65535,
ML1,in-season,0,2021-08-16,1,1108606975,10233,63308,5652565,69222715,0,7366,16915,65535,何塞·卡瓦略
ML1,in-season,1,2021-08-16,0,1769865215,17988,107077,65536524,4294967295,1,0,27005,65535,
ML1,in-season,2,2021-08-16,0,769851391,9303,34704,3424537,6652190,0,4176,11746,65535,塞德里克·策西格
ML1,in-season,3,2021-08-16,0,1045495807,7783,38794,38748592,4294967295,1,0,15952,65535,
ML1,in-season,4,2021-08-16,0,269877247,1321,32764,1917012,5455910,0,35565,4117,65535,费尔南多·帕切科
ML1,in-season,5,2021-08-17,0,1708654591,4188,375602,1917012,20480128,0,10020,26071,65535,
ML1,in-season,6,2021-08-17,0,3020947458,2321,118535,69288255,3539013,0,78584,46096,2,
ML1,in-season,7,2021-08-17,0,3675127807,2153,113908,31440932,21758015,0,100000,56077,65535,
ML1,in-season,8,2021-08-18,0,3845718015,3693432933,132023,1933402,38486189,0,100000,58680,65535,热梅尔松
ML1,in-season,9,2021-08-18,0,1010106367,10243,100165,20496856,4294967295,1,0,15412,65535,
ML1,in-season,10,2021-08-18,0,1215234047,3693431494,36782,26132756,4294967295,1,0,18542,65535,希沙姆·厄勒·马贾德
ML1,in-season,11,2021-08-18,0,2951741439,188,42666,3047446,6258693,0,35526,45039,65535,
ML1,in-season,12,2021-08-19,0,3160080383,1581,63283,3047446,5931054,0,10560,48218,65535,
ML1,in-season,13,2021-08-19,1,660668415,2735,127801,2015265,1900625,0,16249,10080,65535,安德烈亚·巴尔贝里斯
ML1,in-season,14,2021-08-19,0,934412287,3769,4526,2015265,29556851,0,5062,14257,65535,西纳帕·利奥
ML1,in-season,15,2021-08-19,0,820772863,12091,103506,3145837,2130293,0,28399,12523,65535,霍埃尔·格雷特罗
ML1,in-season,16,2021-08-19,0,301465599,3844,41206,2244739,31621237,0,11225,4599,65535,卡洛斯·特维斯
ML1,in-season,17,2021-08-19,0,3962896383,1643,43046,44122687,4294967295,1,0,60468,65535,亚历克斯·费拉里
ML1,in-season,18,2021-08-19,0,1056702463,3693431521,38683,88555979,4294967295,1,0,16123,65535,莫亚诺
ML1,in-season,19,2021-08-19,0,84672511,7985,101107,84722076,6340855,0,26054,1291,65535,尼科洛·皮埃特拉
ML1,in-season,20,2021-08-19,0,2908225535,1773,41020,1703944,4309044,0,7693,44375,65535,
ML1,in-season,21,2021-08-20,1,2082865151,12072,9317,1703944,2130293,0,27776,31781,65535,
ML1,in-season,22,2021-08-20,0,732037119,898,114903,3489856,5292058,0,135131,11169,65535,韦德兰·乔尔卢卡
ML1,in-season,23,2021-08-20,0,1195638783,5515,46648,1076232407,4294967295,1,0,18243,65535,奥德马尔·法埃勒
ML1,in-season,24,2021-08-20,0,1853489151,3693431985,103977,2949403,4294967295,1,0,28281,65535,
ML1,in-season,25,2021-08-20,0,476446719,4171,322961,86852082,4294967295,1,0,7269,65535,
ML1,in-season,26,2021-08-20,0,3208183807,8047,110472,5242903,3129443,0,44594,48952,65535,
ML1,in-season,27,2021-08-21,0,18808831,126,9043,6176770,6193155,0,4608,286,65535,伊安·波韦达-奥坎波
ML1,in-season,28,2021-08-21,0,2028535807,3134,104259,38584499,4112478,0,32047,30952,65535,
ML1,in-season,29,2021-08-21,0,1744502783,121,124840,1753089,6193155,0,289714,26618,65535,
ML1,in-season,30,2021-08-22,0,37355519,7662,115227,68714510,66699502,0,300000,569,65535,达内·斯卡利特
ML1,in-season,31,2021-08-22,0,472383487,15628,47543,1835075,1933402,0,59199,7207,65535,胡利奥·巴罗索
ML1,in-season,32,2021-08-22,0,4115988479,12258,45668,4227113,32686458,0,18680,62804,65535,
ML1,in-season,33,2021-08-23,0,536215551,8455,143071,6258693,5849349,0,184798,8181,65535,安格斯·麦克唐纳
ML1,in-season,34,2021-08-24,0,1337786367,4360,7507,20447357,20562054,0,18999,20412,65535,
ML1,in-season,35,2021-08-24,0,3668049919,8143,117931,4407621,3129443,0,12770,55969,65535,埃文·布什
ML1,in-season,36,2021-08-24,0,2532704255,600,110404,3555398,6537233,0,13184,38645,65535,阿夫拉姆·帕帕佐普洛斯
ML1,in-season,37,2021-08-24,0,4077322239,8858,107543,38453419,32342128,0,10114,62214,65535,
ML1,in-season,38,2021-08-25,0,390594559,15370,42499,3932195,2195943,0,13000,5959,65535,安德松
ML1,in-season,39,2021-08-25,0,4009951231,2733,114333,1638412,1900625,0,553332,61186,65535,
ML1,in-season,40,2021-08-26,1,1061355519,5101,47834,3391503,2261147,0,57798,16194,65535,里克尔梅
ML1,in-season,41,2021-08-26,0,1272184831,85,116543,37650597,6176770,0,131709,19411,65535,
ML1,in-season,42,2021-08-26,0,1892089855,1841,42479,37650597,3178550,0,47391,28870,65535,
ML1,in-season,43,2021-08-26,0,3359834111,867,42588,3178550,5357600,0,54303,51266,65535,
ML1,in-season,44,2021-08-26,0,3364945919,1383,47241,3178550,67911720,0,25652,51344,65535,
ML1,in-season,45,2021-08-26,0,2750939135,5523,114191,3178550,3014823,0,209035,41975,65535,亚历山大·冈萨雷斯
ML1,in-season,46,2021-08-26,0,1309343743,2486,47244,3833876,1867850,0,100000,19978,65535,
ML1,in-season,47,2021-08-27,0,2942304255,1924,100051,27951459,4358200,0,10400,44895,65535,
ML1,in-season,48,2021-08-27,0,531365887,4221,106631,27951459,20447357,0,13200,8107,65535,迪克
ML1,in-season,49,2021-08-27,0,2448818175,8706,131609,5357600,4243725,0,41228,37365,65535,
ML1,in-season,50,2021-08-28,0,2536636415,5720,107906,5357600,38486189,0,408793,38705,65535,
ML1,in-season,51,2021-08-28,0,652869631,1830,9567,2048034,3178550,0,13000,9961,65535,奥古斯丁纳斯·克利马维乌斯
ML1,in-season,52,2021-08-28,0,753270783,1801,46649,38486189,4341813,0,35532,11493,65535,法比安·弗雷
ML1,in-season,53,2021-08-28,0,2637823999,522,33700,6258693,2899974,0,40894,40249,65535,
ML1,in-season,54,2021-08-28,0,3621453823,8704,63399,3407891,4243725,0,31655,55258,65535,萨瓦·列戈伊达
ML1,in-season,55,2021-08-29,0,4119461887,1734,118968,4243725,1785906,0,0,62857,65535,
ML1,in-season,56,2021-08-30,1,1092091903,4542,47835,81838222,44548235,0,1338,16663,65535,
ML1,in-season,57,2021-08-30,0,644546559,1511,106987,5947657,5914668,0,5051,9834,65535,曼努埃尔·德卢卡
ML1,in-season,58,2021-08-30,0,3445686271,1109,36703,2834443,5357600,0,64207,52576,65535,
ML1,in-season,59,2021-08-31,0,156041215,1721,118977,2834443,1785906,0,553333,2380,65535,弗兰克·里杰卡尔德
ML1,in-season,60,2021-08-31,0,1832058879,8717,45288,1900625,4243725,0,15600,27954,65535,
ML1,in-season,61,2021-08-31,0,1245380607,5728,113281,1867850,38486189,0,157999,19002,65535,
ML1,in-season,62,2021-08-31,0,71761919,3198,108991,1720338,5357600,0,3962,1094,65535,安特·雷比奇
ML1,in-season,63,2021-08-31,1,3428384767,1834,118472,4227113,1769517,0,14023,52312,65535,
ML1,in-season,64,2021-08-31,0,2895839231,8056,103366,6340855,6373625,0,6500,44186,65535,
ML1,in-season,65,2021-08-31,0,3972923391,536,8574,1785906,2932752,0,108000,60621,65535,阿德里安·于努
ML1,in-season,66,2021-08-31,0,365690879,1027,109943,1785906,1949726,0,169000,5579,65535,丹尼尔·卡利朱里
ML1,in-season,67,2021-08-31,1,3095461887,1567,122908,3178550,1769517,0,41194,47232,65535,本亚明·西格里斯特
ML1,in-season,68,2021-08-31,0,3645767679,8812,108075,1802295,4341813,0,8516,55629,65535,
ML1,in-season,69,2021-08-31,0,2699558911,3301,104479,3522628,3489856,0,24830,41191,65535,
ML1,in-season,70,2021-08-31,0,476184575,2184,113379,1851465,3489856,0,105349,7265,65535,乔纳森·里克尔梅
ML1,in-season,71,2021-08-31,0,3719364607,11941,42343,1851465,4294967295,1,0,56752,65535,
ML1,in-season,72,2021-08-31,0,3313238015,1451,103470,67911720,1802295,0,10361,50555,65535,
ML1,in-season,73,2021-08-31,0,2145910783,1125,43079,2097328,5357600,0,36000,32743,65535,
ML1,in-season,74,2021-08-31,0,3797942271,1205,114909,1769517,2048034,0,599267,57951,65535,阿佐格
ML1,in-season,75,2021-08-31,1,1883963391,34,133551,2916359,1654784,0,36382,28746,65535,
ML1,in-season,76,2021-08-31,1,4251189247,12393,59933,85262717,87720318,0,1282,64867,65535,
ML1,in-season,77,2021-08-31,0,3219587071,3693431839,60966,85262717,4294967295,1,0,49126,65535,
ML1,in-season,78,2021-08-31,0,137428991,7745,100550,3293420,28836080,0,23323,2096,65535,
ML1,in-season,79,2021-08-31,0,4049076223,1387,100061,3571788,67911720,0,8558,61783,65535,
